Program,enwik8,enwik9,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
lzf 1.02          cx,45198298,406805983,48359,x,406854342,68,2.2,151,LZ77,68
srank 1.1         -C8,43091439,409217739,6546,x,409224285,51,45,2,SR,
QuickLZ 1.30b     (quick3),46378438,410633262,44202,x,410677464,48,12,3,LZ77,
stz 0.7.2         -c2,47192312,416524596,41941,x,416566537,14,13,3,LZ77,26
compress 4.3d,45763941,424588663,16473,x,424605136,103,70,1.8,LZW,
lzrw3-a,48009194,438253704,4750,x,438258454,38,17,2,LZ77,
fcm1,45402225,447305681,1116,s,447306797,228,261,1,CM1,
runcoder1,46883939,458125932,5488,s,458131420,140,156,4,o1,26
data-shrinker 23Mar2012,51658517,459825318,3706,s,459829024,14,4,2,LZ77,26
lzwc_bitwise 0.7,46639414,463884550,4183,x,463888733,123,134,71,LZW,26
exdupe 0.3.3,53717422,478788378,1092986,x,479881364,27,5,1000,LZ77,48
lzv 0.1.0,54950847,488436027,10385,x,488446412,4,2.6,3,LZ77,48
FastLZ Jun 12 2007,54658924,493066558,7065,xd,493073623,18,13,1,LZ77,
sharc 0.9.11b     -c2,53175042,494421068,81001,s,494502069,15,14,6,LZP,26
flzp v1,57366279,497535428,3942,s,497539370,78,38,8,LZP,
alba 0.5.1        cd,52728620,515760096,4870,s,515764966,239,10,4,BPE,48
lzpgt6,56113248,522877083,27136,x,522904219,6,5,6,LZP,95
snappy 1.0.1,58350605,527772054,23844,s,527795898,25,12,0.1,LZ77,26
bpe               5000 4096 200 3,53906667,532250688,1037,sd,532251725,639,28,0.5,Dict,26
kwc,54097740,532622518,15186,x,532637704,438,145,668,Dict,26
bpe2 v3,55289197,542748980,2979,s,542751959,518,132,0.5,Dict,26
fpaq0f2,56916872,558645708,3066,x,558648769,222,207,0.4,o0,
ppp,61657971,579352307,1472,s,579353779,80,59,1,SR,
ksc               4,59511259,580557413,13507,x,580570920,40050,7917,1700,SR,48
lzbw1 0.8,67620436,590235688,21751,x,590257439,15,12,55,LZP,26
lzp2 0.7c,67909076,598076882,40819,x,598117701,11,8,15,LZP,26
NTFS              LZNT1,76955648,636870656,0,,636870656,10,9,0.1,LZ77,26
shindlet_fs,62890267,637390277,1275,xd,637391552,113,103,0.6,o0,
arb255,63501996,644561595,4871,sd,644566466,2551,2574,1.6,o0,
compact,63862371,648370029,3600,sd,648373629,216,164,0.2,o0,
TinyLZP 0.1,79220546,694274932,2811,s,694277743,32,38,10,LZP,26
smile,71154788,695562502,207,xd,695562709,10517,10414,0.6,MTF,26
barf              (2 passes),76074327,758482743,983782,s,759466525,756,53,4,LZ77,
arb2x v20060602,99642909,995674993,3433,sd,995678426,2616,2464,1.6,o0b,
