Program,enwik8,enwik8 ratio,enwik8 decomp,enwik9,enwik9 ratio,enwik9 decomp,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
CTXf 0.75 pre b1  -me,22072783,0.22072783,22889475971,191008871,0.191008871,198.076199227,57337,x,191066298,1112,1037,78,PPM,
m03exp 2005-02-15 32MB blocks,21948192,0.21948192,46091203200,191250500,0.1912505,401.62605,44593,x,191295093,4800,2100,256,BWT,
Stuffit 12.0.0.17 -m=4 -l=16 -x=30,22105654,0.22105654,14545520332,190372707,0.190372707,125.265241206,2658122,xd,193030829,628,658,1062,PPM,
plzma v3b         c2 ... (see below),24206571,0.24206571,1331361405,193240160,0.19324016,10.6282088,101221,x,193341381,8889,55,10110,LZ77,58
crook v0.1        -m1600 -O8,22503627,0.22503627,11544360651,193333159,0.193333159,99.179910567,8539,s,193341698,483,513,1641,PPM,26
ppmx 0.03,22572808,0.22572808,17697081472,193643464,0.193643464,151.816475776,54964,x,193698428,777,784,609,PPM,26
lzturbo 1.1       -49 -b1000 -p0,24416777,0.24416777,219750993,194681713,0.194681713,1.752135417,110670,x,194792383,1920,9,14700,LZ77,59
enc 0.15          aq,22156982,0.22156982,152174152376,195604166,0.195604166,1343.409412088,94888,x,195699054,6843,6868,50,CM,
comprolz 0.11.0-bugfix1  -b250 -f,22813215,0.22813215,7026470220,196651379,0.196651379,60.568624732,29453,x,196680832,984,308,688,ROLZ,26
sbc 0.970r2       -ad -m3 -b63,22470539,0.22470539,7033278707,197066203,0.197066203,61.681721539,99094,xd,197165297,1733,313,224,BWT,
xz 5.2.1--lzma2=preset=9edict=1GiBlc=4pb=0,24703772,0.24703772,494075440,197331816,0.197331816,3.94663632,36752,xd,197368568,5876,20,6000,LZ77,73
WinRAR 3.60b3     -mc7:128t+ -sfxWinCon.sfx,22713569,0.22713569,9426131135,198454545,0.198454545,82.358636175,0,xd,198454545,506,415,128,PPM,
quark v0.95r beta -m1 -d25 -l8,22988924,0.22988924,4988596508,198600023,0.198600023,43.096204991,80264,x,198680287,27952,217,534,LZ77,
lzip 1.14-rc3     -9 -s512MiB,24756063,0.24756063,519877323,199410543,0.199410543,4.187621403,21682,s,199432225,2409,21,5632,LZ77,57
comprox 0.11.0-bugfix1 -b250 -f -m100,23064386,0.23064386,3528851058,199515912,0.199515912,30.525934536,34176,x,199550088,917,153,688,LZ77,26
bssc 0.95 alpha   -b16383,23117061,0.23117061,5016402237,201810709,0.201810709,43.792923853,45489,x,201856198,578,217,140,BWT,4
flashzip 1.0.0    -mx7 -b7,23869034,0.23869034,2912022148,202363445,0.202363445,24.68834029,123053,x,202486498,1296,122,802,ROLZ,26
lzham 1.0         -d29 -x,25002070,0.2500207,165013662,202237199,0.202237199,1.3347655134,191600,s,202428799,1096,6.6,7800,LZ77,70
csarc 3.3         -m5 -d1024m,24516202,0.24516202,539356444,203995005,0.203995005,4.48789011,69848,s,204064853,621,22,2463,LZ77,48
packet 1.9        -mx -b512 -h8,24968492,0.24968492,349558888,204195438,0.204195438,2.858736132,261967,x,204457405,974,14,2824,LZ77,48
uharc 0.6b        -mx -md32768,23911123,0.23911123,31801793590,208026696,0.208026696,276.67550568,73608,xd,208100304,1666,1330,50,PPM,
TarsaLZP Jan 29 2012,24751389,0.24751389,0,208867187,0.208867187,0,13081,s,208880268,203,,~2000,LZP,54
GRZipII 0.2.4     -b8m,23846878,0.23846878,5150925648,208993966,0.208993966,45.142696656,41645,s,209035641,312,216,58,BWT,
4x4 0.2a          4t (grzip:m1:h18),23833244,0.23833244,5719978560,208787642,0.208787642,50.10903408,317097,x,209104739,386,240,269,BWT,
rzm 0.07h,24361070,0.2436107,1973246670,210126103,0.210126103,17.020214343,17667,x,210143770,2336,81,160,ROLZ,
pim 2.50          best,24303638,0.24303638,18567979432,210124895,0.210124895,160.53541978,330901,x,210455796,764,764,88,PPM,
CTW 0.1           -d6 -n16M -f16M,23670293,0.23670293,462138800532,211995206,0.211995206,4138.994401944,43247,x,212038452,19221,19524,144,CM,
boa 0.58b         -m15,24322643,0.24322643,99722836300,213845481,0.213845481,876.7664721,55813,x,213901294,3953,4100,17,PPM,
yxz 0.11          -m9 -b7 -h6,25754856,0.25754856,1983123912,214317684,0.214317684,16.502461668,131062,x,214448746,642,77,1590,LZ,26
zstd 0.6.0        -22 --ultra,25405601,0.25405601,55892322.2,215674670,0.21567467,0.474484274,69687,s,215744357,701,2.2,792,LZ77,76
tornado 0.6       -16,25768105,0.25768105,231912945,217749028,0.217749028,1.959741252,83694,s,217832722,1482,9,1290,LZ77,48
LZPXj 1.2h        9,25205783,0.25205783,18072546411,217880584,0.217880584,156.220378728,4853,s,217885437,783,717,1316,PPM,
scmppm 0.93.3     -l 9,25198832,0.25198832,16228047808,217867392,0.217867392,140.306600448,37043,s,217904435,708,644,20,PPM,
acb 2.00c         u,25063656,0.25063656,272767768248,218473968,0.218473968,2377.652193744,38976,x,218512944,10656,10883,16,LZ77,26
crushm,25013576,0.25013576,16233810824,218656416,0.218656416,141.908013984,30097,x,218686513,617,649,39,CM,26
PX v1.0,24971871,0.24971871,45174114639,219091398,0.219091398,396.336338982,3054,s,219094452,1838,1809,66,CM,3
DGCA 1.10         default+SFX,25203248,0.25203248,6804876960,219655072,0.219655072,59.30686944,0,xd,219655072,858,270,76,,
Squeez 5.20.4600  sqx2.0 32MB Ultra,25118441,0.25118441,2913739156,220004873,0.220004873,25.520565268,91019,xd,220095892,2575,116,365,,
fpaq2,25287775,0.25287775,510459026150,221242386,0.221242386,4465.998803796,3429,s,221245815,20183,20186,131,CM,
TinyCM 0.1        9,25913605,0.25913605,34465094650,221773542,0.221773542,294.95881086,12553,x,221786095,1342,1330,1083,CM,26
dmc               c 1800000000,25320517,0.25320517,18256092757,222605607,0.222605607,160.498642647,2220,s,222607827,676,721,1800,DMC,
lza 0.82b         -mx9 -b7 -h7,26396613,0.26396613,256047146.1,222808457,0.222808457,2.1612420329,285766,x,223094223,449,9.7,2000,LZ77,48
brotli 18-Feb-2016 -q 11 -w 24,25764698,0.25764698,152011718.2,223597884,0.223597884,1.3192275156,542385,s,224140269,3400,5.9,437,LZ77,48
szip 1.12a        -b41o16,26120472,0.26120472,7548816408,227586463,0.227586463,65.772487807,31708,x,227618171,1191,289,21,BWT,26
balz 1.13         ex,26421416,0.26421416,5020069040,228337644,0.228337644,43.38415236,49024,x,228286668,3700,190,206,ROLZ,
lzpm 0.11         9,26501542,0.26501542,1510587894,229083971,0.229083971,13.057786347,46824,x,229130795,15395,57,740,ROLZ,
qazar 0.0pre5     -l7 -d9 -x7,26455170,0.2645517,23889018510,229846871,0.229846871,207.551724513,71959,x,229918830,5738,903,105,LZP,
KuaiZip 2.3.2 x86,25895915,0.25895915,1217108005,227905650,0.22790565,10.71156555,3857649,x,231763299,1061,47,197,LZ77,26
qc 0.050          -8,26763343,0.26763343,40225304529,232784501,0.232784501,349.875105003,46100,x,232830601,8218,1503,151,,
ppms J            -o5,26310248,0.26310248,9313827792,233442414,0.233442414,82.638614556,16467,x,233458881,330,354,1.8,PPM,
dzo beta,26616115,0.26616115,4231962285,235056859,0.235056859,37.374040581,618883,x,235675742,1088,159,200,LZ77,26
comprox_ba 20110929,27828189,0.27828189,2810647089,242846243,0.242846243,24.527470543,4134,s,242850377,397,101,226,BWTS,48
WinTurtle 1.60    512 MB buffer,28379612,0.28379612,6725968044,245217944,0.245217944,58.116652728,160090,x,245378034,273,237,583,PPM,
diz,26545256,0.26545256,603798392976,246679382,0.246679382,5610.969222972,12945,s,246692327,21240,22746,1350,PPM,26
cabarc 1.00.0601  -m lzx:21,28465607,0.28465607,426984105,250756595,0.250756595,3.761348925,51917,xd,250808853,1619,15,20,LZ77,
sr3,28926691,0.28926691,4628270560,253031980,0.25303198,40.4851168,9399,s,253054625,148,160,68,SR,26
bzip2 1.0.2       -9,29008736,0.29008736,3742126944,253977839,0.253977839,32.763141231,30036,x,254007875,379,129,8,BWT,
rh5_x64           -window:27 c6,29078552,0.29078552,273338388.8,254220469,0.254220469,2.3896724086,36744,x,254257213,196,9.4,145,ROLZ,48
RangeCoderC v1.7  c7 26,28788013,0.28788013,70127599668,254527369,0.254527369,620.028670884,7858,x,254535227,2460,2436,1116,CM,26
quad v1.11        -x,29110579,0.29110579,3376827164,256145858,0.256145858,29.712919528,13387,s,256159245,956,116,34,ROLZ,
WinACE            -sfx -m5 -d4096,29481470,0.2948147,2270073190,257237710,0.25723771,19.80730367,0,xd,257237710,1080,77,4,,
lzsr 0.01,29433834,0.29433834,2590177392,258912605,0.258912605,22.78430924,40287,x,258952892,194,88,6,LZ77,26
libzling 20160107 e4,29721114,0.29721114,802470078,259475639,0.259475639,7.005842253,35582,s,259511221,83,27,28,ROLZ,48
xpv5              c2,29963217,0.29963217,15461019972,262525246,0.262525246,135.463026936,14371,x,262539617,2359,516,9,ROLZ,26
sr3c 1.0,29731019,0.29731019,4310997755,266035006,0.266035006,38.57507587,7701,x,266042707,160,145,5,SR,26
lzc v0.08         10,30611315,0.30611315,1928512845,266565255,0.266565255,16.793611065,11364,x,266576619,302,63,550,LZ77,
nakamichi 2019-Jul-01,32917888,0.32917888,42793254.4,277293058,0.277293058,0.3604809754,112899,s,277405957,8200000,1.3,302000,LZSS,85
crush 1.00        cx,31731711,0.31731711,92021961.9,279491430,0.27949143,0.810525147,2489,s,279493919,948,2.9,148,LZ77,60
xeloz 0.3.5.3     c889,32441272,0.32441272,259530176,283621211,0.283621211,2.268969688,18771,s,283639982,1079,8,230,LZ77,48
bzp 0.2,31563865,0.31563865,3787663800,283908295,0.283908295,34.0689954,36808,x,283945103,110,120,3,LZP,
lzwg              -27,34423369,0.34423369,1411358129,284356322,0.284356322,11.658609202,19828,xd,284376150,135,41,1744,LZW,95
ha 0.98           a2,31250524,0.31250524,56250943200,285739328,0.285739328,514.3307904,28404,x,285767732,2010,1800,0.8,PPM,
ulz 0.06          c9,32945292,0.32945292,36239821.2,291028084,0.291028084,0.3201308924,49450,x,291077534,325,1.1,490,LZ77,82
irolz,33310676,0.33310676,4796737344,292448365,0.292448365,42.11256456,4584,s,292452949,274,144,17,ROLZ,26
lcssr 0.2         -b7 -l9,34549048,0.34549048,286100666488,296160661,0.296160661,2452.506433741,8802,x,296169463,8186,8281,1184,SR,
zlite,33975840,0.3397584,951323520,298470807,0.298470807,8.357182596,4880,s,298475687,61,28,36,ROLZ,26
lazy 1.00         5,35024082,0.35024082,840577968,306245949,0.306245949,7.349902776,5986,s,306251935,273,24,96,LZ77,26
zhuff 0.97 beta   -c2,34907478,0.34907478,122176173,308530122,0.308530122,1.079855427,63209,x,308593331,24,3.5,32,LZ77,48
lzhhf,34848933,0.34848933,418187196,308825079,0.308825079,3.705900948,24576,xd,308849655,392,12,14,LZ77,95
slug 1.27,35093954,0.35093954,982630712,309201454,0.309201454,8.657640712,6809,x,309208263,32,28,14,ROLZ,
lzuf62,34960889,0.34960889,384569779,309837920,0.30983792,3.40821712,24576,xd,309862496,375,11,14,LZ77,95
pigz 2.3          -11,35002893,0.35002893,455037609,309812953,0.309812953,4.027568389,52717,s,309865670,2237,13,25,LZ77,48
kzip May 13 2006  /b1024,35016649,0.35016649,2171032238,310188783,0.310188783,19.231704546,29184,xd,310217967,6063,62,121,LZ77,2
uc2 rev 3 pro     -tst,35384822,0.35384822,2229243786,312767652,0.312767652,19.704362076,123031,x,312890683,360,63,4,LZ77,
thor 0.95         e4,35795184,0.35795184,1217036256,314092324,0.314092324,10.679139016,49925,x,314142249,64,34,16,LZP,
etincelle a3,35776971,0.35776971,643985478,314801710,0.31480171,5.66643078,44103,x,314845813,29,18,976,ROLZ,26
lz5 1.3.3         -18,36514408,0.36514408,135103309.6,319510433,0.319510433,1.1821886021,138210,s,319648643,10578,3.7,1139,LZ77,48
gzip124hack 1.2.4 -9,36273716,0.36273716,689200604,321050648,0.321050648,6.099962312,62653,x,321113301,149,19,1,LZ77,
doboz 0.1,36367430,0.3636743,123649262,322415409,0.322415409,1.0962123906,83591,x,322499000,533,3.4,1200,LZ77,48
gzip 1.3.5        -9,36445248,0.36445248,619569216,322591995,0.322591995,5.484063915,38801,x,322630796,101,17,1.6,LZ77,
Info-ZIP 2.3.1    -9,36445373,0.36445373,1275588055,322592120,0.32259212,11.2907242,57583,x,322649703,104,35,0.1,LZ77,
pkzip 2.0.4       -ex,36556552,0.36556552,1827827600,323403526,0.323403526,16.1701763,29184,xd,323432710,171,50,2.5,LZ77,
jar (Java) 0.98-gcc  cvfM,36520144,0.36520144,3469413680,323747582,0.323747582,30.75602029,19054,x,323766636,118,95,1.2,LZ77,
PeaZip            better no integrity check,36580548,0.36580548,8889073164,323884274,0.323884274,78.703878582,561079,x,324445353,243,243,8,LZ77,20
arj 3.10          -m1,37091317,0.37091317,2485118239,328553982,0.328553982,22.013116794,143956,x,328697938,262,67,3,LZ77,26
lzgt3a,37444440,0.3744444,108064653840,334405713,0.334405713,965.094887718,4387,xd,334410100,1581,2886,2,LZ77,
pucrunch          -d -c0,39199165,0.39199165,18149213395,350265471,0.350265471,162.172913073,34359,s,350299830,2649,463,2,LZ77,
packARC v0.7RC11  -sfx -np,38375065,0.38375065,57025346590,361905425,0.361905425,537.79146155,0,xd,361905425,1359,1486,23,CM,
urban,38215763,0.38215763,17197093350,362677440,0.36267744,163.204848,4280,s,362681720,381,450,6,o2,48
lzop v1.01        -9,41217688,0.41217688,494612256,366349786,0.366349786,4.396197432,54438,x,366404224,289,12,1.8,LZ77,
lzw 0.2,41960994,0.41960994,1300790814,367633910,0.36763391,11.39665121,671,s,367634581,3597,31,18,LZW,
MTCompressor v1.0,41295546,0.41295546,4831578882,370152396,0.370152396,43.307830332,3620,x,370156016,173,117,74,LZ77,26
lz4x 1.02         c4,41950112,0.41950112,58730156.8,372068437,0.372068437,0.5208958118,48609,x,372117046,79,1.4,114,LZ77,68
arbc2z,38756037,0.38756037,103633642938,379054068,0.379054068,1013.590577832,6255,sd,379060323,2659,2674,68,PPM,
lz4 v1.2          -c2,42870164,0.42870164,257220984,379999522,0.379999522,2.279997132,49128,x,380048650,91,6,20,LZ77,26
lzss 0.02         cx,42874387,0.42874387,98611090.1,380192378,0.380192378,0.8744424694,48114,x,380240492,107,2.3,145,LZSS,63
xdelta 3.0u       -9,44288463,0.44288463,1328653890,389302725,0.389302725,11.67908175,107985,x,389410710,1021,30,47,LZ77,
brieflz 1.1.0,43300800,0.433008,324756000,390122722,0.390122722,2.925920415,14907,s,390137629,21,7.5,3,LZ77,48
mtari 0.2,41655528,0.41655528,4123897272,397232608,0.397232608,39.326028192,4156,s,397236764,80,99,18,CM,26
lzf 1.02          cx,45198298,0.45198298,99436255.6,406805983,0.406805983,0.8949731626,48359,x,406854342,68,2.2,151,LZ77,68
srank 1.1         -C8,43091439,0.43091439,1939114755,409217739,0.409217739,18.414798255,6546,x,409224285,51,45,2,SR,
QuickLZ 1.30b     (quick3),46378438,0.46378438,556541256,410633262,0.410633262,4.927599144,44202,x,410677464,48,12,3,LZ77,
stz 0.7.2         -c2,47192312,0.47192312,613500056,416524596,0.416524596,5.414819748,41941,x,416566537,14,13,3,LZ77,26
compress 4.3d,45763941,0.45763941,3203475870,424588663,0.424588663,29.72120641,16473,x,424605136,103,70,1.8,LZW,
lzrw3-a,48009194,0.48009194,816156298,438253704,0.438253704,7.450312968,4750,x,438258454,38,17,2,LZ77,
fcm1,45402225,0.45402225,11849980725,447305681,0.447305681,116.746782741,1116,s,447306797,228,261,1,CM1,
