Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
nvcomp_ans 3.0.5 -17,5135.69,5399.09,211957760,143156742,67.54,/home/robin/dataset/silesia.tar
nvcomp_ans 3.0.5 -18,4682.33,5143.51,211957760,147150292,69.42,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -4,4577.74,4566.46,211957760,192793500,90.96,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -5,4901.74,4824.36,211957760,183762628,86.70,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -7,5129.00,5025.62,211957760,176386596,83.22,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -10,5206.69,5059.82,211957760,175262844,82.69,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -11,5213.25,5082.75,211957760,175182204,82.65,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -14,5143.30,4882.11,211957760,175111736,82.62,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -17,4377.81,3703.27,211957760,175102872,82.61,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_default 3.0.5 -18,3729.65,2994.74,211957760,175102200,82.61,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -4,4543.14,4441.38,211957760,208491116,98.36,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -5,4802.34,4706.94,211957760,198887444,93.83,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -7,5050.77,4953.67,211957760,189003972,89.17,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -10,5071.12,4986.73,211957760,187885848,88.64,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -11,5049.77,4981.49,211957760,187805696,88.61,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -14,4972.49,4929.92,211957760,187735712,88.57,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -17,4164.28,4485.29,211957760,187726916,88.57,/home/robin/dataset/silesia.tar
nvcomp_bitcomp_sparse 3.0.5 -18,3508.58,4055.03,211957760,187726260,88.57,/home/robin/dataset/silesia.tar
nvcomp_cascaded 3.0.5 -0,4536.78,4812.01,211957760,196761880,92.83,/home/robin/dataset/silesia.tar
nvcomp_cascaded 3.0.5 -1,4191.08,4659.96,211957760,203966116,96.23,/home/robin/dataset/silesia.tar
nvcomp_cascaded 3.0.5 -2,4137.77,4624.56,211957760,206995256,97.66,/home/robin/dataset/silesia.tar
nvcomp_cascaded 3.0.5 -3,3846.72,4578.25,211957760,209960988,99.06,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_throughput 3.0.5 -7,3793.63,5743.11,211957760,98613204,46.52,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_throughput 3.0.5 -8,3727.98,5773.28,211957760,93378792,44.06,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_throughput 3.0.5 -9,3514.35,5748.74,211957760,90756440,42.82,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_throughput 3.0.5 -10,3116.52,5633.10,211957760,89488024,42.22,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_entropy 3.0.5 -7,5356.61,5149.17,211957760,135019512,63.70,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_entropy 3.0.5 -8,5381.59,5176.49,211957760,132296724,62.42,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_entropy 3.0.5 -9,5434.11,5138.89,211957760,131417828,62.00,/home/robin/dataset/silesia.tar
nvcomp_gdeflate_entropy 3.0.5 -10,5304.68,4998.31,211957760,131526900,62.05,/home/robin/dataset/silesia.tar
nvcomp_deflate_throughput 3.0.5 -7,3709.54,4902.56,211957760,93679167,44.20,/home/robin/dataset/silesia.tar
nvcomp_deflate_throughput 3.0.5 -8,3634.62,4987.98,211957760,90882225,42.88,/home/robin/dataset/silesia.tar
nvcomp_deflate_throughput 3.0.5 -9,3414.45,4903.88,211957760,89476769,42.21,/home/robin/dataset/silesia.tar
nvcomp_deflate_throughput 3.0.5 -10,3021.42,4619.46,211957760,88817145,41.90,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -3,1493.42,3166.57,211957760,133957209,63.20,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -4,2071.26,3920.87,211957760,112548177,53.10,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -7,3372.06,5396.00,211957760,84363361,39.80,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -10,3264.58,5320.14,211957760,73884501,34.86,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -11,2985.80,5005.05,211957760,72296925,34.11,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -14,1201.29,2725.21,211957760,70561872,33.29,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -17,254.83,702.51,211957760,70362727,33.20,/home/robin/dataset/silesia.tar
nvcomp_zstd 3.0.5 -18,135.56,382.07,211957760,70345515,33.19,/home/robin/dataset/silesia.tar
